old_file_path,new_file_path,commit_SHA,parent_commit_SHA,commit_message,diff_histogram,old_file_MCC,new_file_MCC
,README.md,321dbcbb51950ae5dff8200a60d69f1462861729,cf0fc93c7c4b661bb6fb41d0f9837a7198daf3ed,"Added Usage Policies
- Changed 10 request/s for Google
- Added rate limit of 1 request/s for OSM
- Main readme is Markdown with usage policies","diff --git a/README.md b/README.md
new file mode 100644
index 0000000..331c1c5
--- /dev/null
+++ b/README.md
@@ -0,0 +1,176 @@
+Python Geocoder
+===============
+[![](https://img.shields.io/pypi/v/geocoder.svg)](https://pypi.python.org/pypi/geocoder)
+[![](https://img.shields.io/pypi/dm/geocoder.svg)](https://pypi.python.org/pypi/geocoder)
+[![](https://travis-ci.org/DenisCarriere/geocoder.svg?branch=master)](https://travis-ci.org/DenisCarriere/geocoder)
+[![](https://coveralls.io/repos/DenisCarriere/geocoder/badge.svg?branch=master&service=github)](https://coveralls.io/github/DenisCarriere/geocoder?branch=master)
+
+Simple and consistent geocoding library written in Python.
+
+Many online providers such as Google & Bing have geocoding services,
+these providers do not include Python libraries and have different
+JSON responses between each other.
+
+It can be very difficult sometimes to parse a particular geocoding provider
+since each one of them have their own JSON schema.
+
+Here is a typical example of retrieving a Lat & Lng from Google using Python,
+things shouldn't be this hard.
+
+```python
+>>> import requests
+>>> url = 'https://maps.googleapis.com/maps/api/geocode/json'
+>>> params = {'sensor': 'false', 'address': 'Mountain View, CA'}
+>>> r = requests.get(url, params=params)
+>>> results = r.json()['results']
+>>> location = results[0]['geometry']['location']
+>>> location['lat'], location['lng']
+(37.3860517, -122.0838511)
+```
+
+Now lets use Geocoder to do the same task.
+
+```python
+>>> import geocoder
+>>> g = geocoder.google('Mountain View, CA')
+>>> g.latlng
+(37.3860517, -122.0838511)
+```
+
+Documentation
+-------------
+https://geocoder.readthedocs.org/
+
+
+API Overview
+------------
+Many properties are available once the geocoder object is created.
+
+### Forward
+
+```python
+>>> import geocoder
+>>> g = geocoder.google('Mountain View, CA')
+>>> g.geojson
+>>> g.json
+>>> g.wkt
+>>> g.osm
+```
+
+### Reverse
+
+```python
+>>> g = geocoder.google([45.15, -75.14], method='reverse')
+>>> g.city
+>>> g.state
+>>> g.state_long
+>>> g.country
+>>> g.country_long
+```
+
+### House Addresses
+
+```python
+>>> g = geocoder.google(""453 Booth Street, Ottawa ON"")
+>>> g.housenumber
+>>> g.postal
+>>> g.street
+>>> g.street_long
+```
+
+### IP Addresses
+
+```python
+>>> g = geocoder.ip('199.7.157.0')
+>>> g = geocoder.ip('me')
+>>> g.latlng
+>>> g.city
+```
+
+
+Command Line Interface
+----------------------
+```bash
+$ geocode ""Ottawa, ON""  >> ottawa.geojson
+$ geocode ""Ottawa, ON"" \
+    --provide google \
+    --out geojson \
+    --method geocode
+```
+
+Providers
+---------
+| Provider                       | Optimal       | Usage Policy                    |
+|:-------------------------------|:--------------|:--------------------------------|
+| [ArcGIS][ArcGIS]               | World         |                                 |
+| [Baidu][Baidu]                 | China         | API key                         |
+| [Bing][Bing]                   | World         | API key                         |
+| [CanadaPost][CanadaPost]       | Canada        | API key                         |
+| [FreeGeoIP][FreeGeoIP]         | World         |                                 |
+| [Geocoder.ca][Geocoder.ca]     | CA & US       | Rate Limit                      |
+| [GeoNames][GeoNames]           | World         | Username                        |
+| [GeoOttawa][GeoOttawa]         | Ottawa        |                                 |
+| [Google][Google]               | World         | Rate Limit, [Policy][Google-Policy] |
+| [HERE][HERE]                   | World         | API key                         |
+| [IPInfo][IPInfo]               | World         |                                 |
+| [Mapbox][Mapbox]               | World         | API key                         |
+| [MapQuest][MapQuest]           | World         | API key                         |
+| [MaxMind][MaxMind]             | World         |                                 |
+| [OpenCage][OpenCage]           | World         | API key                         |
+| [OpenStreetMap][OpenStreetMap] | World         | [Policy][OpenStreetMap-Policy]  |
+| [TomTom][TomTom]               | World         | API key                         |
+| [What3Words][What3Words]       | World         | API key                         |
+| [Yahoo][Yahoo]                 | World         |                                 |
+| [Yandex][Yandex]               | Russia        |                                 |
+
+Installation
+------------
+
+### PyPi Install
+
+To install Geocoder, simply:
+
+```bash
+$ pip install geocoder
+```
+
+### GitHub Install
+
+Installing the latest version from Github:
+
+```bash
+$ git clone https://github.com/DenisCarriere/geocoder
+$ cd geocoder
+$ python setup.py install
+```
+
+Twitter
+-------
+Speak up on Twitter [@DenisCarriere](https://twitter.com/DenisCarriere) and tell me how you use this Python Geocoder. New updates will be pushed to Twitter Hashtags [#python](https://twitter.com/search?q=%23python).
+
+Feedback
+--------
+Please feel free to give any feedback on this module. If you find any bugs or any enhancements to recommend please send some of your comments/suggestions to the [Github Issues Page](https://github.com/DenisCarriere/geocoder/issues).
+
+[Mapbox]: http://geocoder.readthedocs.org/providers/Mapbox.html
+[Google]: http://geocoder.readthedocs.org/providers/Google.html
+[Google-Policy]: https://developers.google.com/maps/documentation/geocoding/usage-limits
+[Bing]: http://geocoder.readthedocs.org/providers/Bing.html
+[OpenStreetMap]: http://geocoder.readthedocs.org/providers/OpenStreetMap.html
+[OpenStreetMap-Policy]: https://wiki.openstreetmap.org/wiki/Nominatim_usage_policy
+[HERE]: http://geocoder.readthedocs.org/providers/HERE.html
+[TomTom]: http://geocoder.readthedocs.org/providers/TomTom.html
+[MapQuest]: http://geocoder.readthedocs.org/providers/MapQuest.html
+[OpenCage]: http://geocoder.readthedocs.org/providers/OpenCage.html
+[Yahoo]: http://geocoder.readthedocs.org/providers/Yahoo.html
+[ArcGIS]: http://geocoder.readthedocs.org/providers/ArcGIS.html
+[Yandex]: http://geocoder.readthedocs.org/providers/Yandex.html
+[Geocoder.ca]: http://geocoder.readthedocs.org/providers/Geocoder-ca.html
+[Baidu]: http://geocoder.readthedocs.org/providers/Baidu.html
+[GeoOttawa]: http://geocoder.readthedocs.org/providers/GeoOttawa.html
+[FreeGeoIP]: http://geocoder.readthedocs.org/providers/FreeGeoIP.html
+[MaxMind]: http://geocoder.readthedocs.org/providers/MaxMind.html
+[What3Words]: http://geocoder.readthedocs.org/providers/What3Words.html
+[CanadaPost]: http://geocoder.readthedocs.org/providers/CanadaPost.html
+[GeoNames]: http://geocoder.readthedocs.org/providers/GeoNames.html
+[IPInfo]: http://geocoder.readthedocs.org/providers/IPInfo.html",,
geocoder/google.py,google.py,321dbcbb51950ae5dff8200a60d69f1462861729,cf0fc93c7c4b661bb6fb41d0f9837a7198daf3ed,"Added Usage Policies
- Changed 10 request/s for Google
- Added rate limit of 1 request/s for OSM
- Main readme is Markdown with usage policies",,43,43
geocoder/osm.py,osm.py,321dbcbb51950ae5dff8200a60d69f1462861729,cf0fc93c7c4b661bb6fb41d0f9837a7198daf3ed,"Added Usage Policies
- Changed 10 request/s for Google
- Added rate limit of 1 request/s for OSM
- Main readme is Markdown with usage policies",,47,48
geocoder/osm.py,osm.py,a303c7e3d7a9c8ce703f0da9205f155a8ff1d3be,321dbcbb51950ae5dff8200a60d69f1462861729,Fixed OSM Rate limit,,48,48
geocoder/base.py,base.py,38e274bd1e01c4eb59abafe5908a3de52bf02d4d,a303c7e3d7a9c8ce703f0da9205f155a8ff1d3be,"Modified bbox for GeoJSON #168
- bbox= west, south, east, north",,80,80
README.md,README.md,16cb08033609ddf01acacecb4d4e6fe42f289b11,38e274bd1e01c4eb59abafe5908a3de52bf02d4d,Add Docs for bbox,"diff --git a/README.md b/README.md
index 331c1c5..a760615 100644
--- a/README.md
+++ b/README.md
@@ -87,6 +87,21 @@ Many properties are available once the geocoder object is created.
 >>> g.city
 ```
 
+### Bounding Box
+
+Accessing the JSON & GeoJSON attributes will be different
+
+```python
+>>> g = geocoder.google(""Ottawa"")
+>>> g.bbox
+{""northeast"": [45.53453, -75.2465979], ""southwest"": [44.962733, -76.3539158]}
+
+>>> g.geojson['bbox']
+[-76.3539158, 44.962733, -75.2465979, 45.53453]
+
+>>> g.southwest
+[44.962733, -76.3539158]
+```
 
 Command Line Interface
 ----------------------",0,0
geocoder/osm.py,osm.py,e0d07ffed5e4d5a05110e1f9aa457f7686aa272f,16cb08033609ddf01acacecb4d4e6fe42f289b11,OSM Rate limit URL connection issue #158,,48,47
README.md,README.md,1549f55c3864edf1aeea2cb6fb60a3dd7dc1b6e8,e0d07ffed5e4d5a05110e1f9aa457f7686aa272f,Added Mapzen in Docs,"diff --git a/README.md b/README.md
index a760615..879fb77 100644
--- a/README.md
+++ b/README.md
@@ -130,6 +130,7 @@ Providers
 | [IPInfo][IPInfo]               | World         |                                 |
 | [Mapbox][Mapbox]               | World         | API key                         |
 | [MapQuest][MapQuest]           | World         | API key                         |
+| [Mapzen][Mapzen]               | World         | API key                         |
 | [MaxMind][MaxMind]             | World         |                                 |
 | [OpenCage][OpenCage]           | World         | API key                         |
 | [OpenStreetMap][OpenStreetMap] | World         | [Policy][OpenStreetMap-Policy]  |
@@ -185,6 +186,7 @@ Please feel free to give any feedback on this module. If you find any bugs or an
 [GeoOttawa]: http://geocoder.readthedocs.org/providers/GeoOttawa.html
 [FreeGeoIP]: http://geocoder.readthedocs.org/providers/FreeGeoIP.html
 [MaxMind]: http://geocoder.readthedocs.org/providers/MaxMind.html
+[Mapzen]: http://geocoder.readthedocs.org/providers/Mapzen.html
 [What3Words]: http://geocoder.readthedocs.org/providers/What3Words.html
 [CanadaPost]: http://geocoder.readthedocs.org/providers/CanadaPost.html
 [GeoNames]: http://geocoder.readthedocs.org/providers/GeoNames.html",0,0
geocoder/google.py,google.py,0edf2aa3a270dd47bf9cf032482beb071d7b3386,1549f55c3864edf1aeea2cb6fb60a3dd7dc1b6e8,"fix calling _encode_params in google.py

self._encode_params expects **kwargs from the Google(Base) object. It was called without the **kwargs, so _encode_params failed.",,43,43
geocoder/google.py,google.py,0720d3fad3858286b5296e4374f95fd076d78d63,30f753b3c185485221e12133177559aae13a5ede,"fix key vs client-id conflict in google.py

When a `google_client` and `google_secret` is provided, the `key` is set to None to avoid the API failing (https://developers.google.com/maps/premium/previous-licenses/webservices/auth?hl=EN).",,43,46
